Date,vader_score,date,NIFTY_50_Close,SMA_20,RSI
2017-06-09,0.022733333,09-06-2017,9668.25,9531.32875985,61.87801594702902
2017-06-11,0.2425,11-06-2017,9657.75,9548.513769599998,72.20608504092765
2017-06-12,-0.180766667,12-06-2017,9616.400391,9558.9687989,67.01731501782243
2017-06-13,0.1847,13-06-2017,9606.900391,9568.1937989,71.16094640256932
2017-06-14,-0.4767,14-06-2017,9618.150391,9579.0562989,63.24384958271433
2017-06-16,-0.1097,16-06-2017,9588.049805,9582.846289149998,49.00426222081481
2017-06-19,0.0,19-06-2017,9657.549805,9589.4362794,63.8022997266418
2017-06-20,0.242233333,20-06-2017,9653.5,9600.63876965,54.62834299565489
2017-06-21,0.3592,21-06-2017,9633.599609,9610.923730550001,51.874847982588726
2017-06-22,0.34,22-06-2017,9630.0,9623.116211,52.120262468175206
2017-06-26,0.3909,26-06-2017,9631.799805,9629.21870125,46.286734149094485
2017-06-27,0.45425,27-06-2017,9511.400391,9625.03374035,29.06649154967903
2017-06-28,-0.176633333,28-06-2017,9491.25,9621.9750001,30.45274700856241
2017-06-29,-0.7269,29-06-2017,9504.099609,9615.9524903,30.961472485463716
2017-06-30,0.064,30-06-2017,9520.900391,9610.93500985,30.18162628061424
2017-07-01,0.0,01-07-2017,9512.5,9605.7550294,30.3530574911442
2017-07-05,0.1873,05-07-2017,9637.599609,9604.96000985,52.337803228013264
2017-07-07,0.0,07-07-2017,9665.799805,9604.495019650001,56.23801531888808
2017-07-10,-0.0353,10-07-2017,9771.049805,9611.18999035,63.50461536704865
2017-07-11,0.2162,11-07-2017,9786.049805,9618.1299806,67.96733205819478
2017-07-12,0.17,12-07-2017,9816.099609,9625.52246105,65.4970055838512
2017-07-13,0.0,13-07-2017,9891.700195,9637.2199708,70.42530914138831
2017-07-14,0.0,14-07-2017,9886.349609,9650.717431699999,72.22756594502412
2017-07-16,-0.0516,16-07-2017,9889.024902,9664.823657249999,72.8164926686136
2017-07-17,0.148,17-07-2017,9915.950195,9679.71364745,73.9687434248425
2017-07-20,-0.267233333,20-07-2017,9873.299805,9693.976147450001,85.13566553883548
2017-07-21,0.154,21-07-2017,9915.25,9706.861157199999,89.49309244762576
2017-07-22,0.0,22-07-2017,9894.274902,9718.8999023,85.80061341399848
2017-07-24,0.17,24-07-2017,9966.400391,9735.5399414,87.10935655074634
2017-07-26,0.1079,26-07-2017,10020.65039,9755.072460899999,89.3242836944252
2017-07-27,0.0,27-07-2017,10020.5498,9774.50996065,86.74415706641989
2017-07-28,0.23835,28-07-2017,10014.5,9799.6649411,84.94318192693235
2017-07-29,-0.4588,29-07-2017,10017.5249,9825.9786861,81.06348439116955
2017-07-31,0.1531,31-07-2017,10077.09961,9854.628686150001,82.9762069477146
2017-08-01,0.0,01-08-2017,10114.65039,9884.3161861,83.26073013803918
2017-08-02,0.50615,02-08-2017,10081.5,9912.7661861,73.3540253655935
2017-08-03,-0.0129,03-08-2017,10013.65039,9931.56872515,63.575780331119304
2017-08-04,-0.2869,04-08-2017,10066.40039,9951.5987544,67.09059314681122
2017-08-08,-0.08895,08-08-2017,9978.549805,9961.9737544,55.397890507803254
2017-08-09,-0.196533333,09-08-2017,9908.049805,9968.0737544,52.859130926945895
2017-08-10,-0.1692,10-08-2017,9820.25,9968.28127395,42.73202167021648
2017-08-11,-0.4393,11-08-2017,9710.799805,9959.236254450001,37.63689641027062
2017-08-14,0.6369,14-08-2017,9794.150391,9954.62629355,38.56624267617232
2017-08-16,-0.0998,16-08-2017,9897.299805,9955.0400387,42.311265031631535
2017-08-17,0.0,17-08-2017,9904.150391,9954.450048499999,42.80509252351219
2017-08-18,-0.4588,18-08-2017,9837.400391,9952.6550778,39.81719807423386
2017-08-21,0.0,21-08-2017,9754.349609,9944.61005825,36.14323475274713
2017-08-22,0.0492,22-08-2017,9765.549805,9938.1738034,32.715739667793116
2017-08-23,-0.5423,23-08-2017,9852.5,9932.478783850001,36.212078913256136
2017-08-24,-0.2294,24-08-2017,9857.049805,9924.2987546,37.828763797195876
2017-08-25,0.4215,25-08-2017,9854.774902,9916.0100097,40.72505867909688
2017-08-28,0.35015,28-08-2017,9912.799805,9910.924999949999,41.08788879974167
2017-08-29,-0.180766667,29-08-2017,9796.049805,9899.851245200001,39.75468931238493
2017-08-30,0.0,30-08-2017,9884.400391,9890.21628425,48.698439015798805
2017-08-31,0.45765,31-08-2017,9917.900391,9880.3787843,55.715882995944334
2017-09-01,0.3182,01-09-2017,9974.400391,9875.02380385,66.44929438400018
2017-09-03,0.0,03-09-2017,9946.150391,9871.6488039,60.18560081180311
2017-09-05,0.0,05-09-2017,9952.200195,9865.938794149999,54.229276722090624
2017-09-06,0.0,06-09-2017,9916.200195,9862.82131365,50.888365020730575
2017-09-07,-0.8074,07-09-2017,9929.900391,9863.913842949998,57.398208213156444
2017-09-08,0.135783333,08-09-2017,9934.799805,9869.6413332,66.49453339490105
2017-09-11,-0.3412,11-09-2017,10006.0498,9884.40383295,69.80891803306916
2017-09-13,0.236533333,13-09-2017,10079.2998,9898.6613034,69.11181853890027
2017-09-14,-0.3182,14-09-2017,10086.59961,9908.12629365,69.25431595357962
2017-09-15,0.106925,15-09-2017,10085.40039,9917.1887936,69.37951375965523
2017-09-16,0.4842,16-09-2017,10086.0,9929.618774049999,66.10868998951238
2017-09-18,-0.125,18-09-2017,10153.09961,9949.5562741,86.58685205436097
2017-09-19,-0.222675,19-09-2017,10147.5498,9968.65627385,82.47575625358333
2017-09-20,0.2732,20-09-2017,10141.15039,9983.08879335,79.5267612829577
2017-09-22,0.3612,22-09-2017,9964.400391,9988.45632265,48.9965821138458
2017-09-24,0.20095,24-09-2017,10052.77539,9998.35634705,59.54699335678084
2017-09-26,0.0,26-09-2017,9871.5,9996.2913568,44.500069919822
2017-09-27,-0.2732,27-09-2017,9735.75,9993.276366549999,39.17382143506719
2017-09-28,0.0,28-09-2017,9768.950195,9987.50385675,40.56450492755717
2017-09-29,0.0,29-09-2017,9788.599609,9981.03881765,41.574907874276704
2017-09-30,0.0,30-09-2017,9778.774902,9971.257543200001,35.90494622143689
2017-10-02,0.0,02-10-2017,9788.599609,9963.380004100001,30.432053604705487
2017-10-03,0.0,03-10-2017,9859.5,9958.74499435,35.91887867325663
2017-10-04,0.0,04-10-2017,9914.900391,9958.680004150001,40.094104704440035
2017-10-05,-0.0377,05-10-2017,9888.700195,9956.61999435,38.868202500638866
2017-10-06,-0.3612,06-10-2017,9979.700195,9958.86501385,40.47360237905568
2017-10-08,-0.4019,08-10-2017,9934.200195,9955.2725336,38.771662010530044
2017-10-09,0.0,09-10-2017,9988.75,9950.7450436,42.36624121513646
2017-10-10,-0.0814,10-10-2017,10016.9502,9947.262573099999,53.09243715469584
2017-10-11,0.1651,11-10-2017,9984.799805,9942.232543850001,45.71632370846387
2017-10-12,-0.4019,12-10-2017,10096.40039,9942.75256335,65.53713876391184
2017-10-16,-0.4019,16-10-2017,10230.84961,9946.64006335,84.2653103209164
2017-10-17,0.526,17-10-2017,10234.4502,9950.985083349999,83.59310104719097
2017-10-18,0.0,18-10-2017,10210.84961,9954.47004435,80.2991478306749
2017-10-19,-0.27555,19-10-2017,10146.5498,9963.5775148,74.47665486524778
2017-10-21,-0.11315,21-10-2017,10178.69971,9969.8737308,75.2132271598345
2017-10-23,0.0,23-10-2017,10184.84961,9985.5412113,72.94906392761563
2017-10-24,0.064,24-10-2017,10207.7002,10009.1387213,71.64712654147048
2017-10-26,0.0,26-10-2017,10343.7998,10037.881201549999,78.94294793077766
2017-10-27,-0.051033333,27-10-2017,10323.0498,10064.6037111,73.97856218397702
2017-10-28,0.0,28-10-2017,10333.4248,10092.336205999998,79.31912784290002
2017-10-29,-0.2633,29-10-2017,10323.0498,10119.05871555,76.2545409662895
2017-10-30,0.1591,30-10-2017,10363.65039,10144.26623505,76.70820731745034
2017-11-01,0.067433333,01-11-2017,10440.5,10170.546215499999,82.84321019244099
2017-11-02,0.0,02-11-2017,10423.7998,10197.30119575,77.33564970402236
